District,Year,Cropland,BuiltUp,Forest,WaterBody
Jhargram,2009,23.56,23.88,13.83,17.39
Murshidabad,2009,51.28,22.72,11.08,9.55
Purba Bardhaman,2009,30.52,14.0,12.63,19.05
Purulia,2009,42.15,12.64,21.91,11.71
West Medinipur,2009,44.02,17.89,37.58,12.45
Bankura,2010,59.69,26.29,16.26,18.96
Birbhum,2010,24.65,25.44,21.42,18.17
Jalpaiguri,2010,54.72,25.15,33.7,9.57
Jhargram,2010,23.24,15.07,15.21,15.42
Murshidabad,2010,33.84,29.39,29.23,17.34
Purba Bardhaman,2010,25.3,26.55,37.68,12.31
Purulia,2010,44.25,24.12,15.25,12.54
West Medinipur,2010,35.95,8.66,21.03,6.02
Bankura,2011,21.03,8.38,38.89,13.24
Birbhum,2011,58.63,15.81,19.35,12.59
Jalpaiguri,2011,37.58,7.64,29.22,8.24
Jhargram,2011,44.78,21.26,14.56,5.92
Murshidabad,2011,51.23,16.5,11.74,19.92
Purba Bardhaman,2011,22.31,22.38,39.51,8.59
Purulia,2011,25.69,8.03,19.1,6.52
West Medinipur,2011,47.69,6.56,25.28,19.95
Bankura,2012,52.56,20.38,19.19,14.36
Birbhum,2012,41.08,15.65,13.92,18.3
Jalpaiguri,2012,37.99,9.87,21.03,11.21
Jhargram,2012,53.1,23.34,33.08,5.17
Murshidabad,2012,36.65,17.03,10.58,8.9
Purba Bardhaman,2012,50.41,8.43,26.06,8.23
Purulia,2012,20.48,11.03,39.28,17.02
West Medinipur,2012,58.38,17.2,13.29,13.22
Bankura,2013,38.18,26.11,12.94,12.32
Birbhum,2013,26.0,13.12,32.12,12.14
Jalpaiguri,2013,35.04,14.86,23.78,16.78
Jhargram,2013,55.68,28.88,33.61,9.73
Murshidabad,2013,47.53,15.94,17.64,17.61
Purba Bardhaman,2013,21.54,27.54,23.84,14.56
Purulia,2013,46.37,27.38,29.1,14.21
West Medinipur,2013,22.67,17.96,14.51,16.06
Bankura,2014,40.49,22.01,11.25,6.27
Birbhum,2014,48.65,6.8,12.14,5.18
Jalpaiguri,2014,58.26,23.44,20.6,9.45
Jhargram,2014,33.99,24.37,29.84,7.78
Murshidabad,2014,26.96,7.46,29.81,16.47
Purba Bardhaman,2014,30.6,5.52,12.47,19.52
Purulia,2014,31.82,24.23,28.74,10.73
West Medinipur,2014,28.23,8.03,28.45,16.62
Bankura,2015,45.76,18.26,11.26,19.53
Birbhum,2015,51.95,12.32,39.4,14.03
Jalpaiguri,2015,43.3,23.7,34.35,14.85
Jhargram,2015,25.12,13.46,37.84,8.37
Murshidabad,2015,34.89,15.8,23.18,14.19
Purba Bardhaman,2015,57.72,11.02,13.65,7.96
Purulia,2015,55.48,21.15,18.58,17.24
West Medinipur,2015,54.45,26.16,37.57,8.78
Bankura,2016,50.2,16.51,35.26,15.93
Birbhum,2016,51.06,21.4,15.32,13.18
Jalpaiguri,2016,59.39,28.43,11.3,7.47
Jhargram,2016,25.27,23.15,34.53,8.2
Murshidabad,2016,40.23,26.02,31.98,13.13
Purba Bardhaman,2016,43.61,17.71,18.93,13.48
Purulia,2016,47.56,26.83,29.09,16.42
West Medinipur,2016,26.4,16.54,10.28,8.7
Bankura,2017,49.06,29.8,12.98,11.02
Birbhum,2017,52.0,10.1,26.65,16.0
Jalpaiguri,2017,44.64,9.7,20.66,16.76
Jhargram,2017,42.17,5.13,32.83,5.53
Murshidabad,2017,49.83,10.06,38.74,10.52
Purba Bardhaman,2017,33.08,8.72,19.17,18.15
Purulia,2017,59.85,14.21,23.46,15.83
West Medinipur,2017,55.45,19.83,21.75,11.19
Bankura,2018,47.82,5.08,28.59,10.33
Birbhum,2018,51.77,7.32,27.65,12.21
Jalpaiguri,2018,45.69,6.62,27.4,13.42
Jhargram,2018,42.43,20.09,30.29,17.07
Murshidabad,2018,30.79,25.63,24.95,6.16
Purba Bardhaman,2018,22.34,13.36,33.55,15.62
Purulia,2018,51.54,17.93,23.21,7.21
West Medinipur,2018,33.13,15.85,12.66,8.31
Bankura,2019,43.93,23.39,39.95,19.0
Birbhum,2019,45.7,15.53,29.09,16.78
Jalpaiguri,2019,24.73,15.25,35.19,10.76
Jhargram,2019,42.87,19.69,15.53,10.43
Murshidabad,2019,33.38,5.65,10.73,17.48
Purba Bardhaman,2019,30.92,17.95,18.96,19.11
Purulia,2019,30.37,15.74,36.18,17.63
West Medinipur,2019,27.44,25.07,23.75,12.24
Bankura,2020,25.34,7.02,31.84,12.45
Birbhum,2020,37.47,23.24,32.97,7.38
Jalpaiguri,2020,44.41,8.38,32.54,14.85
Jhargram,2020,58.26,6.72,11.71,9.23
Murshidabad,2020,30.47,11.17,37.19,8.74
Purba Bardhaman,2020,30.88,23.98,23.49,16.65
Purulia,2020,22.61,17.19,11.01,5.94
West Medinipur,2020,56.26,8.48,25.97,11.17
