Date,Year,District,Season,Rainfall,TMax,TMin
2002-06-01,2002,Purba Bardhaman,Post-Monsoon,1249.84,29.29,26.29
2002-06-01,2002,Purulia,Pre-Monsoon,1068.32,39.45,15.16
2002-06-01,2002,Purulia,Post-Monsoon,1963.85,25.65,26.58
2002-06-01,2002,West Medinipur,Pre-Monsoon,1433.24,39.89,15.96
2002-06-01,2002,West Medinipur,Post-Monsoon,1464.63,39.54,21.8
2003-06-01,2003,Bankura,Pre-Monsoon,1555.28,35.44,20.91
2003-06-01,2003,Bankura,Post-Monsoon,1553.07,33.76,26.72
2003-06-01,2003,Birbhum,Pre-Monsoon,854.54,29.21,27.36
2003-06-01,2003,Birbhum,Post-Monsoon,1868.32,31.83,23.06
2003-06-01,2003,Jalpaiguri,Pre-Monsoon,1132.86,27.82,21.03
2003-06-01,2003,Jalpaiguri,Post-Monsoon,1224.02,33.75,16.01
2003-06-01,2003,Jhargram,Pre-Monsoon,1969.27,39.79,24.08
2003-06-01,2003,Jhargram,Post-Monsoon,1443.32,29.64,25.58
2003-06-01,2003,Murshidabad,Pre-Monsoon,1621.68,27.44,26.84
2003-06-01,2003,Murshidabad,Post-Monsoon,1787.04,39.25,24.43
2003-06-01,2003,Purba Bardhaman,Pre-Monsoon,1536.1,31.27,27.13
2003-06-01,2003,Purba Bardhaman,Post-Monsoon,1839.28,25.68,15.34
2003-06-01,2003,Purulia,Pre-Monsoon,1251.76,37.16,27.83
2003-06-01,2003,Purulia,Post-Monsoon,980.5,33.91,19.95
2003-06-01,2003,West Medinipur,Pre-Monsoon,1963.9,37.63,25.9
2003-06-01,2003,West Medinipur,Post-Monsoon,1362.43,31.22,18.55
2004-06-01,2004,Bankura,Pre-Monsoon,867.65,37.97,25.57
2004-06-01,2004,Bankura,Post-Monsoon,1999.66,39.95,22.22
2004-06-01,2004,Birbhum,Pre-Monsoon,1722.78,39.17,26.05
2004-06-01,2004,Birbhum,Post-Monsoon,1096.82,31.76,16.68
2004-06-01,2004,Jalpaiguri,Pre-Monsoon,1944.86,34.09,17.97
2004-06-01,2004,Jalpaiguri,Post-Monsoon,1606.04,34.27,19.66
2004-06-01,2004,Jhargram,Pre-Monsoon,936.27,35.07,21.76
2004-06-01,2004,Jhargram,Post-Monsoon,1726.78,32.8,26.08
2004-06-01,2004,Murshidabad,Pre-Monsoon,1462.29,33.41,26.4
2004-06-01,2004,Murshidabad,Post-Monsoon,1284.18,27.01,15.37
2004-06-01,2004,Purba Bardhaman,Pre-Monsoon,1706.16,34.3,24.15
2004-06-01,2004,Purba Bardhaman,Post-Monsoon,1055.56,27.05,15.19
2004-06-01,2004,Purulia,Pre-Monsoon,1220.71,33.85,20.1
2004-06-01,2004,Purulia,Post-Monsoon,1324.97,38.56,19.53
2004-06-01,2004,West Medinipur,Pre-Monsoon,1416.79,36.75,20.16
2004-06-01,2004,West Medinipur,Post-Monsoon,1546.5,37.94,27.34
2005-06-01,2005,Bankura,Pre-Monsoon,976.49,38.9,21.4
2005-06-01,2005,Bankura,Post-Monsoon,1109.89,31.89,27.74
2005-06-01,2005,Birbhum,Pre-Monsoon,1391.14,29.93,23.23
2005-06-01,2005,Birbhum,Post-Monsoon,1088.17,26.14,16.68
2005-06-01,2005,Jalpaiguri,Pre-Monsoon,953.66,27.28,16.8
2005-06-01,2005,Jalpaiguri,Post-Monsoon,1569.05,27.73,19.49
2005-06-01,2005,Jhargram,Pre-Monsoon,1876.15,32.11,23.68
2005-06-01,2005,Jhargram,Post-Monsoon,1006.78,27.88,15.53
2005-06-01,2005,Murshidabad,Pre-Monsoon,1002.72,29.18,17.3
2005-06-01,2005,Murshidabad,Post-Monsoon,906.44,26.81,20.99
2005-06-01,2005,Purba Bardhaman,Pre-Monsoon,1047.6,30.46,21.54
2005-06-01,2005,Purba Bardhaman,Post-Monsoon,1628.47,25.59,25.39
2005-06-01,2005,Purulia,Pre-Monsoon,1553.48,26.23,26.36
2005-06-01,2005,Purulia,Post-Monsoon,1905.05,25.92,18.6
2005-06-01,2005,West Medinipur,Pre-Monsoon,1767.44,36.22,17.4
2005-06-01,2005,West Medinipur,Post-Monsoon,1051.22,30.56,21.3
2006-06-01,2006,Bankura,Pre-Monsoon,1541.91,30.53,21.01
2006-06-01,2006,Bankura,Post-Monsoon,1696.97,25.55,18.28
2006-06-01,2006,Birbhum,Pre-Monsoon,1656.02,38.43,21.65
2006-06-01,2006,Birbhum,Post-Monsoon,1438.54,26.61,20.82
2006-06-01,2006,Jalpaiguri,Pre-Monsoon,1439.14,28.64,18.5
2006-06-01,2006,Jalpaiguri,Post-Monsoon,1252.74,25.3,19.19
2006-06-01,2006,Jhargram,Pre-Monsoon,1053.74,29.91,16.56
2006-06-01,2006,Jhargram,Post-Monsoon,1868.63,33.9,23.83
2006-06-01,2006,Murshidabad,Pre-Monsoon,1747.01,32.48,16.13
2006-06-01,2006,Murshidabad,Post-Monsoon,1444.53,33.8,24.69
2006-06-01,2006,Purba Bardhaman,Pre-Monsoon,1317.99,26.91,18.69
2006-06-01,2006,Purba Bardhaman,Post-Monsoon,1235.7,34.69,22.42
2006-06-01,2006,Purulia,Pre-Monsoon,1227.32,39.8,22.88
2006-06-01,2006,Purulia,Post-Monsoon,1084.67,26.53,16.99
2006-06-01,2006,West Medinipur,Pre-Monsoon,1095.15,27.41,17.43
2006-06-01,2006,West Medinipur,Post-Monsoon,1142.11,27.6,26.66
2007-06-01,2007,Bankura,Pre-Monsoon,896.28,32.87,20.34
2007-06-01,2007,Bankura,Post-Monsoon,1978.85,26.68,20.17
2007-06-01,2007,Birbhum,Pre-Monsoon,1963.36,37.98,25.62
2007-06-01,2007,Birbhum,Post-Monsoon,1109.48,27.56,23.69
2007-06-01,2007,Jalpaiguri,Pre-Monsoon,1915.25,33.35,22.43
2007-06-01,2007,Jalpaiguri,Post-Monsoon,1135.97,36.54,17.43
2007-06-01,2007,Jhargram,Pre-Monsoon,1188.42,31.38,21.6
2007-06-01,2007,Jhargram,Post-Monsoon,1090.89,26.72,22.94
2007-06-01,2007,Murshidabad,Pre-Monsoon,1146.36,33.72,17.01
2007-06-01,2007,Murshidabad,Post-Monsoon,1377.37,32.99,15.67
2007-06-01,2007,Purba Bardhaman,Pre-Monsoon,1203.93,27.02,15.82
2007-06-01,2007,Purba Bardhaman,Post-Monsoon,1987.95,29.84,25.53
2007-06-01,2007,Purulia,Pre-Monsoon,1105.57,35.22,24.88
2007-06-01,2007,Purulia,Post-Monsoon,1514.77,32.07,20.35
2007-06-01,2007,West Medinipur,Pre-Monsoon,1218.64,38.94,25.8
2007-06-01,2007,West Medinipur,Post-Monsoon,1958.03,26.86,24.5
2008-06-01,2008,Bankura,Pre-Monsoon,1926.01,27.72,15.86
2008-06-01,2008,Bankura,Post-Monsoon,1689.34,33.62,25.94
2008-06-01,2008,Birbhum,Pre-Monsoon,967.73,36.93,17.62
2008-06-01,2008,Birbhum,Post-Monsoon,996.39,27.46,25.59
2008-06-01,2008,Jalpaiguri,Pre-Monsoon,1598.24,32.85,19.66
2008-06-01,2008,Jalpaiguri,Post-Monsoon,1852.64,30.89,25.62
2008-06-01,2008,Jhargram,Pre-Monsoon,1326.96,30.65,21.01
2008-06-01,2008,Jhargram,Post-Monsoon,1161.65,36.21,21.54
2008-06-01,2008,Murshidabad,Pre-Monsoon,1078.66,38.49,19.99
2008-06-01,2008,Murshidabad,Post-Monsoon,1452.26,38.6,23.12
2008-06-01,2008,Purba Bardhaman,Pre-Monsoon,940.28,39.1,23.16
2008-06-01,2008,Purba Bardhaman,Post-Monsoon,1201.89,27.09,25.32
2008-06-01,2008,Purulia,Pre-Monsoon,1544.09,33.0,26.62
2008-06-01,2008,Purulia,Post-Monsoon,1746.32,27.28,19.05
2008-06-01,2008,West Medinipur,Pre-Monsoon,1098.19,36.16,15.44
2008-06-01,2008,West Medinipur,Post-Monsoon,1483.87,36.44,26.4
2009-06-01,2009,Bankura,Pre-Monsoon,1210.5,37.32,16.44
2009-06-01,2009,Bankura,Post-Monsoon,1815.74,26.91,20.16
2009-06-01,2009,Birbhum,Pre-Monsoon,1756.75,27.25,17.98
2009-06-01,2009,Birbhum,Post-Monsoon,1666.7,35.8,23.33
2009-06-01,2009,Jalpaiguri,Pre-Monsoon,1632.74,33.14,18.27
2009-06-01,2009,Jalpaiguri,Post-Monsoon,1214.84,27.72,26.81
2009-06-01,2009,Jhargram,Pre-Monsoon,1500.07,31.01,21.01
2009-06-01,2009,Jhargram,Post-Monsoon,1936.74,27.3,22.62
2009-06-01,2009,Murshidabad,Pre-Monsoon,1407.07,34.17,15.24
2009-06-01,2009,Murshidabad,Post-Monsoon,1846.55,38.98,22.35
2009-06-01,2009,Purba Bardhaman,Pre-Monsoon,1635.98,38.84,24.19
2009-06-01,2009,Purba Bardhaman,Post-Monsoon,983.05,33.64,22.89
2009-06-01,2009,Purulia,Pre-Monsoon,1308.96,36.05,27.15
2009-06-01,2009,Purulia,Post-Monsoon,1910.68,31.76,16.47
2009-06-01,2009,West Medinipur,Pre-Monsoon,1981.81,37.58,16.62
2009-06-01,2009,West Medinipur,Post-Monsoon,1905.01,38.05,21.74
2010-06-01,2010,Bankura,Pre-Monsoon,1509.53,30.99,15.71
2010-06-01,2010,Bankura,Post-Monsoon,1202.24,37.04,15.06
2010-06-01,2010,Birbhum,Pre-Monsoon,1200.2,30.97,21.99
2010-06-01,2010,Birbhum,Post-Monsoon,1903.83,30.2,19.51
2010-06-01,2010,Jalpaiguri,Pre-Monsoon,1685.0,31.78,17.92
2010-06-01,2010,Jalpaiguri,Post-Monsoon,1342.93,27.11,17.29
2010-06-01,2010,Jhargram,Pre-Monsoon,1398.04,31.28,26.89
2010-06-01,2010,Jhargram,Post-Monsoon,1234.87,33.71,23.22
2010-06-01,2010,Murshidabad,Pre-Monsoon,815.71,34.95,17.31
2010-06-01,2010,Murshidabad,Post-Monsoon,1953.28,27.23,20.39
2010-06-01,2010,Purba Bardhaman,Pre-Monsoon,902.42,39.95,21.53
2010-06-01,2010,Purba Bardhaman,Post-Monsoon,1514.46,26.01,24.75
2010-06-01,2010,Purulia,Pre-Monsoon,1051.89,38.47,17.67
2010-06-01,2010,Purulia,Post-Monsoon,1028.83,25.55,21.14
2010-06-01,2010,West Medinipur,Pre-Monsoon,1477.81,25.99,25.08
2010-06-01,2010,West Medinipur,Post-Monsoon,1343.95,32.87,20.73
2011-06-01,2011,Bankura,Pre-Monsoon,1280.92,33.39,17.02
2011-06-01,2011,Bankura,Post-Monsoon,1018.31,37.93,27.3
2011-06-01,2011,Birbhum,Pre-Monsoon,1247.97,29.06,23.37
2011-06-01,2011,Birbhum,Post-Monsoon,1290.48,25.38,17.03
2011-06-01,2011,Jalpaiguri,Pre-Monsoon,1659.17,34.88,15.35
2011-06-01,2011,Jalpaiguri,Post-Monsoon,1066.37,28.47,23.73
2011-06-01,2011,Jhargram,Pre-Monsoon,823.65,26.56,25.4
2011-06-01,2011,Jhargram,Post-Monsoon,1014.25,34.79,18.1
2011-06-01,2011,Murshidabad,Pre-Monsoon,919.33,28.65,24.39
2011-06-01,2011,Murshidabad,Post-Monsoon,1826.84,37.45,20.16
2011-06-01,2011,Purba Bardhaman,Pre-Monsoon,1601.7,28.07,18.81
2011-06-01,2011,Purba Bardhaman,Post-Monsoon,1875.6,25.2,16.11
2011-06-01,2011,Purulia,Pre-Monsoon,1049.46,25.4,17.36
2011-06-01,2011,Purulia,Post-Monsoon,1499.65,31.32,26.6
2011-06-01,2011,West Medinipur,Pre-Monsoon,1780.93,30.13,18.37
2011-06-01,2011,West Medinipur,Post-Monsoon,1255.63,33.85,18.48
2012-06-01,2012,Bankura,Pre-Monsoon,1548.98,31.14,22.18
2012-06-01,2012,Bankura,Post-Monsoon,1323.35,29.42,27.33
2012-06-01,2012,Birbhum,Pre-Monsoon,1716.33,27.1,26.29
2012-06-01,2012,Birbhum,Post-Monsoon,1384.92,38.42,25.4
2012-06-01,2012,Jalpaiguri,Pre-Monsoon,1310.26,25.34,18.49
2012-06-01,2012,Jalpaiguri,Post-Monsoon,1449.96,34.5,18.35
2012-06-01,2012,Jhargram,Pre-Monsoon,967.23,37.52,27.8
2012-06-01,2012,Jhargram,Post-Monsoon,1430.83,27.58,18.54
2012-06-01,2012,Murshidabad,Pre-Monsoon,822.07,38.71,16.53
2012-06-01,2012,Murshidabad,Post-Monsoon,1491.82,29.11,22.2
2012-06-01,2012,Purba Bardhaman,Pre-Monsoon,1581.7,37.45,17.68
2012-06-01,2012,Purba Bardhaman,Post-Monsoon,813.19,27.05,26.7
2012-06-01,2012,Purulia,Pre-Monsoon,1848.67,33.96,22.81
2012-06-01,2012,Purulia,Post-Monsoon,1598.04,27.63,26.89
2012-06-01,2012,West Medinipur,Pre-Monsoon,1302.52,30.75,21.75
2012-06-01,2012,West Medinipur,Post-Monsoon,856.36,27.49,24.59
2013-06-01,2013,Bankura,Pre-Monsoon,899.36,34.05,18.19
2013-06-01,2013,Bankura,Post-Monsoon,1267.15,29.33,19.62
2013-06-01,2013,Birbhum,Pre-Monsoon,1662.86,29.46,22.36
2013-06-01,2013,Birbhum,Post-Monsoon,1371.26,34.96,27.18
2013-06-01,2013,Jalpaiguri,Pre-Monsoon,1679.09,28.22,15.41
2013-06-01,2013,Jalpaiguri,Post-Monsoon,1114.72,33.93,15.67
2013-06-01,2013,Jhargram,Pre-Monsoon,1395.64,33.95,19.35
2013-06-01,2013,Jhargram,Post-Monsoon,1725.09,26.6,15.98
2013-06-01,2013,Murshidabad,Pre-Monsoon,1673.83,32.43,23.95
2013-06-01,2013,Murshidabad,Post-Monsoon,1321.79,28.7,25.65
2013-06-01,2013,Purba Bardhaman,Pre-Monsoon,1759.3,35.42,18.54
2013-06-01,2013,Purba Bardhaman,Post-Monsoon,1508.28,30.41,16.19
2013-06-01,2013,Purulia,Pre-Monsoon,1900.78,27.05,27.35
2013-06-01,2013,Purulia,Post-Monsoon,1335.21,27.78,22.04
2013-06-01,2013,West Medinipur,Pre-Monsoon,1847.54,35.98,25.49
2013-06-01,2013,West Medinipur,Post-Monsoon,1590.54,35.38,26.04
2014-06-01,2014,Bankura,Pre-Monsoon,1099.6,32.34,17.88
2014-06-01,2014,Bankura,Post-Monsoon,1985.2,39.16,15.51
2014-06-01,2014,Birbhum,Pre-Monsoon,1646.69,38.88,17.35
2014-06-01,2014,Birbhum,Post-Monsoon,1481.53,38.73,15.44
2014-06-01,2014,Jalpaiguri,Pre-Monsoon,1636.9,29.46,27.02
2014-06-01,2014,Jalpaiguri,Post-Monsoon,1965.27,39.16,21.16
2014-06-01,2014,Jhargram,Pre-Monsoon,1834.45,37.67,19.15
2014-06-01,2014,Jhargram,Post-Monsoon,1794.7,25.56,22.75
2014-06-01,2014,Murshidabad,Pre-Monsoon,1076.01,26.81,16.0
2014-06-01,2014,Murshidabad,Post-Monsoon,1635.55,30.1,24.42
2014-06-01,2014,Purba Bardhaman,Pre-Monsoon,878.43,29.73,22.01
2014-06-01,2014,Purba Bardhaman,Post-Monsoon,1748.87,29.78,23.14
2014-06-01,2014,Purulia,Pre-Monsoon,1863.17,34.24,18.03
2014-06-01,2014,Purulia,Post-Monsoon,829.28,38.05,15.28
2014-06-01,2014,West Medinipur,Pre-Monsoon,1849.64,32.93,27.21
2014-06-01,2014,West Medinipur,Post-Monsoon,1758.54,39.97,19.56
2015-06-01,2015,Bankura,Pre-Monsoon,1720.63,31.03,21.24
2015-06-01,2015,Bankura,Post-Monsoon,1553.01,38.11,27.79
2015-06-01,2015,Birbhum,Pre-Monsoon,1721.93,31.27,20.48
2015-06-01,2015,Birbhum,Post-Monsoon,1685.1,28.58,16.44
2015-06-01,2015,Jalpaiguri,Pre-Monsoon,1225.55,29.31,18.85
2015-06-01,2015,Jalpaiguri,Post-Monsoon,1080.33,25.63,15.23
2015-06-01,2015,Jhargram,Pre-Monsoon,1985.27,31.42,20.0
2015-06-01,2015,Jhargram,Post-Monsoon,1615.58,28.27,27.35
2015-06-01,2015,Murshidabad,Pre-Monsoon,1743.61,26.34,20.43
2015-06-01,2015,Murshidabad,Post-Monsoon,1854.94,39.17,21.08
2015-06-01,2015,Purba Bardhaman,Pre-Monsoon,1536.09,27.51,27.89
2015-06-01,2015,Purba Bardhaman,Post-Monsoon,1078.01,39.14,23.45
2015-06-01,2015,Purulia,Pre-Monsoon,1529.28,32.69,18.0
2015-06-01,2015,Purulia,Post-Monsoon,1011.83,28.31,17.42
2015-06-01,2015,West Medinipur,Pre-Monsoon,1735.5,30.25,15.75
2015-06-01,2015,West Medinipur,Post-Monsoon,1962.92,38.26,27.06
2016-06-01,2016,Bankura,Pre-Monsoon,1993.89,27.61,20.15
2016-06-01,2016,Bankura,Post-Monsoon,1709.89,35.44,17.0
2016-06-01,2016,Birbhum,Pre-Monsoon,1779.0,28.37,17.91
2016-06-01,2016,Birbhum,Post-Monsoon,1444.37,33.89,22.54
2016-06-01,2016,Jalpaiguri,Pre-Monsoon,909.78,38.16,18.45
2016-06-01,2016,Jalpaiguri,Post-Monsoon,955.42,38.33,27.42
2016-06-01,2016,Jhargram,Pre-Monsoon,1834.55,37.14,23.52
2016-06-01,2016,Jhargram,Post-Monsoon,1461.03,26.3,20.31
2016-06-01,2016,Murshidabad,Pre-Monsoon,1247.23,28.9,24.4
2016-06-01,2016,Murshidabad,Post-Monsoon,1395.05,26.22,17.86
2016-06-01,2016,Purba Bardhaman,Pre-Monsoon,1619.91,26.14,26.07
2016-06-01,2016,Purba Bardhaman,Post-Monsoon,1394.18,32.21,22.7
2016-06-01,2016,Purulia,Pre-Monsoon,1789.62,30.22,23.81
2016-06-01,2016,Purulia,Post-Monsoon,1478.88,29.01,26.42
2016-06-01,2016,West Medinipur,Pre-Monsoon,1756.91,34.88,26.06
2016-06-01,2016,West Medinipur,Post-Monsoon,1840.75,35.63,25.88
2017-06-01,2017,Bankura,Pre-Monsoon,1636.97,35.2,23.04
2017-06-01,2017,Bankura,Post-Monsoon,1703.26,27.38,26.45
2017-06-01,2017,Birbhum,Pre-Monsoon,1846.21,25.44,25.74
2017-06-01,2017,Birbhum,Post-Monsoon,954.64,30.03,24.67
2017-06-01,2017,Jalpaiguri,Pre-Monsoon,992.91,37.27,25.82
2017-06-01,2017,Jalpaiguri,Post-Monsoon,1408.96,25.1,18.73
2017-06-01,2017,Jhargram,Pre-Monsoon,1540.31,39.72,23.21
2017-06-01,2017,Jhargram,Post-Monsoon,1111.76,34.51,22.02
2017-06-01,2017,Murshidabad,Pre-Monsoon,1735.81,26.6,24.89
2017-06-01,2017,Murshidabad,Post-Monsoon,1449.52,39.44,19.44
2017-06-01,2017,Purba Bardhaman,Pre-Monsoon,1559.15,38.98,16.33
2017-06-01,2017,Purba Bardhaman,Post-Monsoon,1924.67,35.32,15.88
2017-06-01,2017,Purulia,Pre-Monsoon,1161.16,35.62,15.88
2017-06-01,2017,Purulia,Post-Monsoon,1498.6,30.19,23.07
2017-06-01,2017,West Medinipur,Pre-Monsoon,854.89,38.07,27.66
2017-06-01,2017,West Medinipur,Post-Monsoon,1962.65,36.24,16.69
2018-06-01,2018,Bankura,Pre-Monsoon,1709.92,25.37,15.29
2018-06-01,2018,Bankura,Post-Monsoon,1188.33,32.33,25.02
2018-06-01,2018,Birbhum,Pre-Monsoon,1619.95,31.69,18.56
2018-06-01,2018,Birbhum,Post-Monsoon,1996.55,31.39,20.87
2018-06-01,2018,Jalpaiguri,Pre-Monsoon,996.35,36.92,24.02
2018-06-01,2018,Jalpaiguri,Post-Monsoon,1064.92,26.24,23.85
2018-06-01,2018,Jhargram,Pre-Monsoon,1585.41,29.1,27.36
2018-06-01,2018,Jhargram,Post-Monsoon,981.27,31.49,27.27
2018-06-01,2018,Murshidabad,Pre-Monsoon,1303.67,34.58,20.17
2018-06-01,2018,Murshidabad,Post-Monsoon,1129.06,39.76,20.32
2018-06-01,2018,Purba Bardhaman,Pre-Monsoon,1872.92,28.45,17.77
2018-06-01,2018,Purba Bardhaman,Post-Monsoon,837.36,34.78,19.79
2018-06-01,2018,Purulia,Pre-Monsoon,1837.23,32.1,27.59
2018-06-01,2018,Purulia,Post-Monsoon,1022.63,38.03,25.1
2018-06-01,2018,West Medinipur,Pre-Monsoon,1725.11,37.67,24.89
2018-06-01,2018,West Medinipur,Post-Monsoon,1551.46,26.97,15.42
2019-06-01,2019,Bankura,Pre-Monsoon,1905.02,34.25,25.35
2019-06-01,2019,Bankura,Post-Monsoon,1377.83,26.76,16.63
2019-06-01,2019,Birbhum,Pre-Monsoon,1622.68,31.45,17.61
2019-06-01,2019,Birbhum,Post-Monsoon,1389.91,25.96,22.57
2019-06-01,2019,Jalpaiguri,Pre-Monsoon,1122.79,36.96,19.03
2019-06-01,2019,Jalpaiguri,Post-Monsoon,1346.26,25.17,15.94
2019-06-01,2019,Jhargram,Pre-Monsoon,1270.99,32.2,22.8
2019-06-01,2019,Jhargram,Post-Monsoon,1150.0,35.42,26.18
2019-06-01,2019,Murshidabad,Pre-Monsoon,1735.82,25.59,21.25
2019-06-01,2019,Murshidabad,Post-Monsoon,925.92,28.63,27.83
2019-06-01,2019,Purba Bardhaman,Pre-Monsoon,970.99,32.48,23.04
2019-06-01,2019,Purba Bardhaman,Post-Monsoon,1642.96,33.39,15.13
2019-06-01,2019,Purulia,Pre-Monsoon,1191.75,32.77,16.14
2019-06-01,2019,Purulia,Post-Monsoon,1220.75,25.5,16.02
2019-06-01,2019,West Medinipur,Pre-Monsoon,1276.31,26.99,22.38
2019-06-01,2019,West Medinipur,Post-Monsoon,1627.36,37.01,17.6
2020-06-01,2020,Bankura,Pre-Monsoon,1000.98,26.57,23.27
2020-06-01,2020,Bankura,Post-Monsoon,1647.77,25.47,27.17
2020-06-01,2020,Birbhum,Pre-Monsoon,862.37,33.12,24.22
2020-06-01,2020,Birbhum,Post-Monsoon,1845.16,35.71,25.42
2020-06-01,2020,Jalpaiguri,Pre-Monsoon,1207.34,37.22,16.04
2020-06-01,2020,Jalpaiguri,Post-Monsoon,1873.78,33.21,25.62
2020-06-01,2020,Jhargram,Pre-Monsoon,1342.78,34.65,21.84
2020-06-01,2020,Jhargram,Post-Monsoon,1677.91,26.22,15.78
2020-06-01,2020,Murshidabad,Pre-Monsoon,1096.52,27.39,26.33
2020-06-01,2020,Murshidabad,Post-Monsoon,1063.06,39.64,19.38
2020-06-01,2020,Purba Bardhaman,Pre-Monsoon,1018.54,36.85,23.56
2020-06-01,2020,Purba Bardhaman,Post-Monsoon,1397.83,33.33,24.35
2020-06-01,2020,Purulia,Pre-Monsoon,1074.15,39.95,27.67
2020-06-01,2020,Purulia,Post-Monsoon,1580.39,27.99,23.84
2020-06-01,2020,West Medinipur,Pre-Monsoon,886.64,25.46,18.35
2020-06-01,2020,West Medinipur,Post-Monsoon,1355.15,38.02,24.45
