Date,Year,District,Season,MeanDepth,Rainfall,TMax,TMin,Cropland,BuiltUp,Forest,WaterBody
2002-06-01,2002,"Purba Bardhaman",Pre-Monsoon,5.52,1695.25,33.75,27.51,45.56,26.70,23.64,12.73
2002-06-01,2002,"Purba Bardhaman",Post-Monsoon,18.64,1249.84,29.29,26.29,45.56,26.70,23.64,12.73
2002-06-01,2002,Purulia,Pre-Monsoon,8.88,1068.32,39.45,15.16,39.55,21.67,14.19,5.45
2002-06-01,2002,Purulia,Post-Monsoon,14.94,1963.85,25.65,26.58,39.55,21.67,14.19,5.45
2002-06-01,2002,"West Medinipur",Pre-Monsoon,9.68,1433.24,39.89,15.96,32.32,22.62,16.06,15.10
2002-06-01,2002,"West Medinipur",Post-Monsoon,12.80,1464.63,39.54,21.80,32.32,22.62,16.06,15.10
2003-06-01,2003,Bankura,Pre-Monsoon,13.20,1555.28,35.44,20.91,58.80,7.35,30.18,11.66
2003-06-01,2003,Bankura,Post-Monsoon,7.77,1553.07,33.76,26.72,58.80,7.35,30.18,11.66
2003-06-01,2003,Birbhum,Pre-Monsoon,19.54,854.54,29.21,27.36,54.73,9.43,30.78,17.57
2003-06-01,2003,Birbhum,Post-Monsoon,16.63,1868.32,31.83,23.06,54.73,9.43,30.78,17.57
2003-06-01,2003,Jalpaiguri,Pre-Monsoon,19.09,1132.86,27.82,21.03,57.78,22.08,24.92,14.27
2003-06-01,2003,Jalpaiguri,Post-Monsoon,18.42,1224.02,33.75,16.01,57.78,22.08,24.92,14.27
2003-06-01,2003,Jhargram,Pre-Monsoon,13.97,1969.27,39.79,24.08,54.76,19.27,10.91,18.96
2003-06-01,2003,Jhargram,Post-Monsoon,18.83,1443.32,29.64,25.58,54.76,19.27,10.91,18.96
2003-06-01,2003,Murshidabad,Pre-Monsoon,6.33,1621.68,27.44,26.84,47.58,21.91,16.47,14.88
2003-06-01,2003,Murshidabad,Post-Monsoon,7.94,1787.04,39.25,24.43,47.58,21.91,16.47,14.88
2003-06-01,2003,"Purba Bardhaman",Pre-Monsoon,5.68,1536.10,31.27,27.13,35.75,21.28,13.20,14.87
2003-06-01,2003,"Purba Bardhaman",Post-Monsoon,9.88,1839.28,25.68,15.34,35.75,21.28,13.20,14.87
2003-06-01,2003,Purulia,Pre-Monsoon,10.83,1251.76,37.16,27.83,59.98,6.21,39.32,11.10
2003-06-01,2003,Purulia,Post-Monsoon,9.07,980.50,33.91,19.95,59.98,6.21,39.32,11.10
2003-06-01,2003,"West Medinipur",Pre-Monsoon,17.43,1963.90,37.63,25.90,54.83,24.56,27.01,16.08
2003-06-01,2003,"West Medinipur",Post-Monsoon,10.35,1362.43,31.22,18.55,54.83,24.56,27.01,16.08
2004-06-01,2004,Bankura,Pre-Monsoon,9.21,867.65,37.97,25.57,55.14,15.10,19.81,15.01
2004-06-01,2004,Bankura,Post-Monsoon,13.14,1999.66,39.95,22.22,55.14,15.10,19.81,15.01
2004-06-01,2004,Birbhum,Pre-Monsoon,7.11,1722.78,39.17,26.05,52.31,24.06,33.93,11.53
2004-06-01,2004,Birbhum,Post-Monsoon,17.03,1096.82,31.76,16.68,52.31,24.06,33.93,11.53
2004-06-01,2004,Jalpaiguri,Pre-Monsoon,6.12,1944.86,34.09,17.97,52.71,8.01,26.33,5.09
2004-06-01,2004,Jalpaiguri,Post-Monsoon,19.80,1606.04,34.27,19.66,52.71,8.01,26.33,5.09
2004-06-01,2004,Jhargram,Pre-Monsoon,16.58,936.27,35.07,21.76,32.98,14.16,21.89,15.43
2004-06-01,2004,Jhargram,Post-Monsoon,7.98,1726.78,32.80,26.08,32.98,14.16,21.89,15.43
2004-06-01,2004,Murshidabad,Pre-Monsoon,5.08,1462.29,33.41,26.40,35.54,16.22,17.13,10.60
2004-06-01,2004,Murshidabad,Post-Monsoon,17.23,1284.18,27.01,15.37,35.54,16.22,17.13,10.60
2004-06-01,2004,"Purba Bardhaman",Pre-Monsoon,15.60,1706.16,34.30,24.15,29.09,6.83,28.10,15.02
2004-06-01,2004,"Purba Bardhaman",Post-Monsoon,15.94,1055.56,27.05,15.19,29.09,6.83,28.10,15.02
2004-06-01,2004,Purulia,Pre-Monsoon,16.57,1220.71,33.85,20.10,44.78,16.59,21.39,17.95
2004-06-01,2004,Purulia,Post-Monsoon,6.11,1324.97,38.56,19.53,44.78,16.59,21.39,17.95
2004-06-01,2004,"West Medinipur",Pre-Monsoon,10.38,1416.79,36.75,20.16,40.76,16.98,10.77,10.12
2004-06-01,2004,"West Medinipur",Post-Monsoon,6.74,1546.50,37.94,27.34,40.76,16.98,10.77,10.12
2005-06-01,2005,Bankura,Pre-Monsoon,17.95,976.49,38.90,21.40,35.21,14.97,27.41,13.00
2005-06-01,2005,Bankura,Post-Monsoon,14.35,1109.89,31.89,27.74,35.21,14.97,27.41,13.00
2005-06-01,2005,Birbhum,Pre-Monsoon,9.96,1391.14,29.93,23.23,44.32,24.12,34.39,15.77
2005-06-01,2005,Birbhum,Post-Monsoon,5.95,1088.17,26.14,16.68,44.32,24.12,34.39,15.77
2005-06-01,2005,Jalpaiguri,Pre-Monsoon,9.66,953.66,27.28,16.80,58.22,5.46,15.87,5.11
2005-06-01,2005,Jalpaiguri,Post-Monsoon,9.88,1569.05,27.73,19.49,58.22,5.46,15.87,5.11
2005-06-01,2005,Jhargram,Pre-Monsoon,15.94,1876.15,32.11,23.68,45.90,27.45,17.30,18.91
2005-06-01,2005,Jhargram,Post-Monsoon,14.56,1006.78,27.88,15.53,45.90,27.45,17.30,18.91
2005-06-01,2005,Murshidabad,Pre-Monsoon,18.31,1002.72,29.18,17.30,22.41,28.36,20.55,6.52
2005-06-01,2005,Murshidabad,Post-Monsoon,12.08,906.44,26.81,20.99,22.41,28.36,20.55,6.52
2005-06-01,2005,"Purba Bardhaman",Pre-Monsoon,6.79,1047.60,30.46,21.54,39.43,11.42,18.55,9.61
2005-06-01,2005,"Purba Bardhaman",Post-Monsoon,15.70,1628.47,25.59,25.39,39.43,11.42,18.55,9.61
2005-06-01,2005,Purulia,Pre-Monsoon,16.41,1553.48,26.23,26.36,52.12,18.48,19.34,14.16
2005-06-01,2005,Purulia,Post-Monsoon,13.42,1905.05,25.92,18.60,52.12,18.48,19.34,14.16
2005-06-01,2005,"West Medinipur",Pre-Monsoon,16.56,1767.44,36.22,17.40,48.65,11.82,22.41,6.83
2005-06-01,2005,"West Medinipur",Post-Monsoon,12.41,1051.22,30.56,21.30,48.65,11.82,22.41,6.83
2006-06-01,2006,Bankura,Pre-Monsoon,12.84,1541.91,30.53,21.01,27.25,22.03,15.44,12.88
2006-06-01,2006,Bankura,Post-Monsoon,11.41,1696.97,25.55,18.28,27.25,22.03,15.44,12.88
2006-06-01,2006,Birbhum,Pre-Monsoon,5.38,1656.02,38.43,21.65,48.36,7.67,27.02,8.85
2006-06-01,2006,Birbhum,Post-Monsoon,6.62,1438.54,26.61,20.82,48.36,7.67,27.02,8.85
2006-06-01,2006,Jalpaiguri,Pre-Monsoon,5.47,1439.14,28.64,18.50,58.52,17.09,34.18,13.25
2006-06-01,2006,Jalpaiguri,Post-Monsoon,14.55,1252.74,25.30,19.19,58.52,17.09,34.18,13.25
2006-06-01,2006,Jhargram,Pre-Monsoon,9.72,1053.74,29.91,16.56,21.74,20.83,38.54,14.02
2006-06-01,2006,Jhargram,Post-Monsoon,12.63,1868.63,33.90,23.83,21.74,20.83,38.54,14.02
2006-06-01,2006,Murshidabad,Pre-Monsoon,18.61,1747.01,32.48,16.13,52.77,27.11,16.84,8.18
2006-06-01,2006,Murshidabad,Post-Monsoon,8.74,1444.53,33.80,24.69,52.77,27.11,16.84,8.18
2006-06-01,2006,"Purba Bardhaman",Pre-Monsoon,11.16,1317.99,26.91,18.69,44.44,15.28,35.20,18.50
2006-06-01,2006,"Purba Bardhaman",Post-Monsoon,16.33,1235.70,34.69,22.42,44.44,15.28,35.20,18.50
2006-06-01,2006,Purulia,Pre-Monsoon,8.43,1227.32,39.80,22.88,34.14,10.92,33.42,9.12
2006-06-01,2006,Purulia,Post-Monsoon,6.15,1084.67,26.53,16.99,34.14,10.92,33.42,9.12
2006-06-01,2006,"West Medinipur",Pre-Monsoon,9.35,1095.15,27.41,17.43,52.90,15.59,30.03,6.43
2006-06-01,2006,"West Medinipur",Post-Monsoon,7.42,1142.11,27.60,26.66,52.90,15.59,30.03,6.43
2007-06-01,2007,Bankura,Pre-Monsoon,18.95,896.28,32.87,20.34,44.95,16.29,27.60,7.52
2007-06-01,2007,Bankura,Post-Monsoon,17.12,1978.85,26.68,20.17,44.95,16.29,27.60,7.52
2007-06-01,2007,Birbhum,Pre-Monsoon,14.50,1963.36,37.98,25.62,49.47,26.57,16.50,6.44
2007-06-01,2007,Birbhum,Post-Monsoon,18.07,1109.48,27.56,23.69,49.47,26.57,16.50,6.44
2007-06-01,2007,Jalpaiguri,Pre-Monsoon,17.06,1915.25,33.35,22.43,20.95,21.05,28.21,13.20
2007-06-01,2007,Jalpaiguri,Post-Monsoon,7.80,1135.97,36.54,17.43,20.95,21.05,28.21,13.20
2007-06-01,2007,Jhargram,Pre-Monsoon,18.39,1188.42,31.38,21.60,29.28,14.77,27.83,12.45
2007-06-01,2007,Jhargram,Post-Monsoon,13.09,1090.89,26.72,22.94,29.28,14.77,27.83,12.45
2007-06-01,2007,Murshidabad,Pre-Monsoon,17.11,1146.36,33.72,17.01,59.51,8.41,30.85,11.06
2007-06-01,2007,Murshidabad,Post-Monsoon,18.44,1377.37,32.99,15.67,59.51,8.41,30.85,11.06
2007-06-01,2007,"Purba Bardhaman",Pre-Monsoon,9.77,1203.93,27.02,15.82,37.13,22.94,30.77,19.87
2007-06-01,2007,"Purba Bardhaman",Post-Monsoon,6.65,1987.95,29.84,25.53,37.13,22.94,30.77,19.87
2007-06-01,2007,Purulia,Pre-Monsoon,8.42,1105.57,35.22,24.88,25.14,7.60,31.73,13.68
2007-06-01,2007,Purulia,Post-Monsoon,11.41,1514.77,32.07,20.35,25.14,7.60,31.73,13.68
2007-06-01,2007,"West Medinipur",Pre-Monsoon,17.27,1218.64,38.94,25.80,30.97,6.99,12.57,18.41
2007-06-01,2007,"West Medinipur",Post-Monsoon,17.91,1958.03,26.86,24.50,30.97,6.99,12.57,18.41
2008-06-01,2008,Bankura,Pre-Monsoon,5.10,1926.01,27.72,15.86,27.67,13.08,16.80,10.32
2008-06-01,2008,Bankura,Post-Monsoon,12.66,1689.34,33.62,25.94,27.67,13.08,16.80,10.32
2008-06-01,2008,Birbhum,Pre-Monsoon,11.26,967.73,36.93,17.62,22.78,17.98,12.03,17.01
2008-06-01,2008,Birbhum,Post-Monsoon,8.33,996.39,27.46,25.59,22.78,17.98,12.03,17.01
2008-06-01,2008,Jalpaiguri,Pre-Monsoon,6.80,1598.24,32.85,19.66,29.35,18.50,36.40,14.76
2008-06-01,2008,Jalpaiguri,Post-Monsoon,10.06,1852.64,30.89,25.62,29.35,18.50,36.40,14.76
2008-06-01,2008,Jhargram,Pre-Monsoon,19.14,1326.96,30.65,21.01,41.32,13.11,19.99,15.04
2008-06-01,2008,Jhargram,Post-Monsoon,9.85,1161.65,36.21,21.54,41.32,13.11,19.99,15.04
2008-06-01,2008,Murshidabad,Pre-Monsoon,12.78,1078.66,38.49,19.99,59.77,21.55,26.73,15.96
2008-06-01,2008,Murshidabad,Post-Monsoon,15.55,1452.26,38.60,23.12,59.77,21.55,26.73,15.96
2008-06-01,2008,"Purba Bardhaman",Pre-Monsoon,10.45,940.28,39.10,23.16,38.61,6.50,26.87,19.36
2008-06-01,2008,"Purba Bardhaman",Post-Monsoon,19.58,1201.89,27.09,25.32,38.61,6.50,26.87,19.36
2008-06-01,2008,Purulia,Pre-Monsoon,19.44,1544.09,33.00,26.62,27.01,22.25,16.03,13.04
2008-06-01,2008,Purulia,Post-Monsoon,8.78,1746.32,27.28,19.05,27.01,22.25,16.03,13.04
2008-06-01,2008,"West Medinipur",Pre-Monsoon,12.46,1098.19,36.16,15.44,23.87,16.26,32.68,10.21
2008-06-01,2008,"West Medinipur",Post-Monsoon,9.51,1483.87,36.44,26.40,23.87,16.26,32.68,10.21
2009-06-01,2009,Bankura,Pre-Monsoon,9.27,1210.50,37.32,16.44,46.60,24.89,37.82,8.52
2009-06-01,2009,Bankura,Post-Monsoon,5.55,1815.74,26.91,20.16,46.60,24.89,37.82,8.52
2009-06-01,2009,Birbhum,Pre-Monsoon,14.14,1756.75,27.25,17.98,35.97,8.81,39.77,18.91
2009-06-01,2009,Birbhum,Post-Monsoon,12.54,1666.70,35.80,23.33,35.97,8.81,39.77,18.91
2009-06-01,2009,Jalpaiguri,Pre-Monsoon,5.77,1632.74,33.14,18.27,41.60,26.05,25.63,14.35
2009-06-01,2009,Jalpaiguri,Post-Monsoon,9.18,1214.84,27.72,26.81,41.60,26.05,25.63,14.35
2009-06-01,2009,Jhargram,Pre-Monsoon,18.62,1500.07,31.01,21.01,23.56,23.88,13.83,17.39
2009-06-01,2009,Jhargram,Post-Monsoon,8.59,1936.74,27.30,22.62,23.56,23.88,13.83,17.39
2009-06-01,2009,Murshidabad,Pre-Monsoon,7.17,1407.07,34.17,15.24,51.28,22.72,11.08,9.55
2009-06-01,2009,Murshidabad,Post-Monsoon,12.34,1846.55,38.98,22.35,51.28,22.72,11.08,9.55
2009-06-01,2009,"Purba Bardhaman",Pre-Monsoon,19.78,1635.98,38.84,24.19,30.52,14.00,12.63,19.05
2009-06-01,2009,"Purba Bardhaman",Post-Monsoon,8.63,983.05,33.64,22.89,30.52,14.00,12.63,19.05
2009-06-01,2009,Purulia,Pre-Monsoon,15.08,1308.96,36.05,27.15,42.15,12.64,21.91,11.71
2009-06-01,2009,Purulia,Post-Monsoon,16.42,1910.68,31.76,16.47,42.15,12.64,21.91,11.71
2009-06-01,2009,"West Medinipur",Pre-Monsoon,8.56,1981.81,37.58,16.62,44.02,17.89,37.58,12.45
2009-06-01,2009,"West Medinipur",Post-Monsoon,15.92,1905.01,38.05,21.74,44.02,17.89,37.58,12.45
2010-06-01,2010,Bankura,Pre-Monsoon,10.52,1509.53,30.99,15.71,59.69,26.29,16.26,18.96
2010-06-01,2010,Bankura,Post-Monsoon,14.48,1202.24,37.04,15.06,59.69,26.29,16.26,18.96
2010-06-01,2010,Birbhum,Pre-Monsoon,14.50,1200.20,30.97,21.99,24.65,25.44,21.42,18.17
2010-06-01,2010,Birbhum,Post-Monsoon,13.04,1903.83,30.20,19.51,24.65,25.44,21.42,18.17
2010-06-01,2010,Jalpaiguri,Pre-Monsoon,6.35,1685.00,31.78,17.92,54.72,25.15,33.70,9.57
2010-06-01,2010,Jalpaiguri,Post-Monsoon,17.53,1342.93,27.11,17.29,54.72,25.15,33.70,9.57
2010-06-01,2010,Jhargram,Pre-Monsoon,9.81,1398.04,31.28,26.89,23.24,15.07,15.21,15.42
2010-06-01,2010,Jhargram,Post-Monsoon,7.80,1234.87,33.71,23.22,23.24,15.07,15.21,15.42
2010-06-01,2010,Murshidabad,Pre-Monsoon,5.61,815.71,34.95,17.31,33.84,29.39,29.23,17.34
2010-06-01,2010,Murshidabad,Post-Monsoon,13.86,1953.28,27.23,20.39,33.84,29.39,29.23,17.34
2010-06-01,2010,"Purba Bardhaman",Pre-Monsoon,15.16,902.42,39.95,21.53,25.30,26.55,37.68,12.31
2010-06-01,2010,"Purba Bardhaman",Post-Monsoon,5.25,1514.46,26.01,24.75,25.30,26.55,37.68,12.31
2010-06-01,2010,Purulia,Pre-Monsoon,12.68,1051.89,38.47,17.67,44.25,24.12,15.25,12.54
2010-06-01,2010,Purulia,Post-Monsoon,8.40,1028.83,25.55,21.14,44.25,24.12,15.25,12.54
2010-06-01,2010,"West Medinipur",Pre-Monsoon,14.68,1477.81,25.99,25.08,35.95,8.66,21.03,6.02
2010-06-01,2010,"West Medinipur",Post-Monsoon,7.62,1343.95,32.87,20.73,35.95,8.66,21.03,6.02
2011-06-01,2011,Bankura,Pre-Monsoon,15.36,1280.92,33.39,17.02,21.03,8.38,38.89,13.24
2011-06-01,2011,Bankura,Post-Monsoon,10.80,1018.31,37.93,27.30,21.03,8.38,38.89,13.24
2011-06-01,2011,Birbhum,Pre-Monsoon,19.05,1247.97,29.06,23.37,58.63,15.81,19.35,12.59
2011-06-01,2011,Birbhum,Post-Monsoon,7.06,1290.48,25.38,17.03,58.63,15.81,19.35,12.59
2011-06-01,2011,Jalpaiguri,Pre-Monsoon,10.12,1659.17,34.88,15.35,37.58,7.64,29.22,8.24
2011-06-01,2011,Jalpaiguri,Post-Monsoon,6.70,1066.37,28.47,23.73,37.58,7.64,29.22,8.24
2011-06-01,2011,Jhargram,Pre-Monsoon,18.87,823.65,26.56,25.40,44.78,21.26,14.56,5.92
2011-06-01,2011,Jhargram,Post-Monsoon,18.16,1014.25,34.79,18.10,44.78,21.26,14.56,5.92
2011-06-01,2011,Murshidabad,Pre-Monsoon,8.87,919.33,28.65,24.39,51.23,16.50,11.74,19.92
2011-06-01,2011,Murshidabad,Post-Monsoon,14.90,1826.84,37.45,20.16,51.23,16.50,11.74,19.92
2011-06-01,2011,"Purba Bardhaman",Pre-Monsoon,17.26,1601.70,28.07,18.81,22.31,22.38,39.51,8.59
2011-06-01,2011,"Purba Bardhaman",Post-Monsoon,13.33,1875.60,25.20,16.11,22.31,22.38,39.51,8.59
2011-06-01,2011,Purulia,Pre-Monsoon,12.94,1049.46,25.40,17.36,25.69,8.03,19.10,6.52
2011-06-01,2011,Purulia,Post-Monsoon,8.63,1499.65,31.32,26.60,25.69,8.03,19.10,6.52
2011-06-01,2011,"West Medinipur",Pre-Monsoon,6.40,1780.93,30.13,18.37,47.69,6.56,25.28,19.95
2011-06-01,2011,"West Medinipur",Post-Monsoon,18.46,1255.63,33.85,18.48,47.69,6.56,25.28,19.95
2012-06-01,2012,Bankura,Pre-Monsoon,18.51,1548.98,31.14,22.18,52.56,20.38,19.19,14.36
2012-06-01,2012,Bankura,Post-Monsoon,14.50,1323.35,29.42,27.33,52.56,20.38,19.19,14.36
2012-06-01,2012,Birbhum,Pre-Monsoon,10.09,1716.33,27.10,26.29,41.08,15.65,13.92,18.30
2012-06-01,2012,Birbhum,Post-Monsoon,10.24,1384.92,38.42,25.40,41.08,15.65,13.92,18.30
2012-06-01,2012,Jalpaiguri,Pre-Monsoon,15.89,1310.26,25.34,18.49,37.99,9.87,21.03,11.21
2012-06-01,2012,Jalpaiguri,Post-Monsoon,18.46,1449.96,34.50,18.35,37.99,9.87,21.03,11.21
2012-06-01,2012,Jhargram,Pre-Monsoon,18.31,967.23,37.52,27.80,53.10,23.34,33.08,5.17
2012-06-01,2012,Jhargram,Post-Monsoon,16.70,1430.83,27.58,18.54,53.10,23.34,33.08,5.17
2012-06-01,2012,Murshidabad,Pre-Monsoon,14.63,822.07,38.71,16.53,36.65,17.03,10.58,8.90
2012-06-01,2012,Murshidabad,Post-Monsoon,6.26,1491.82,29.11,22.20,36.65,17.03,10.58,8.90
2012-06-01,2012,"Purba Bardhaman",Pre-Monsoon,7.42,1581.70,37.45,17.68,50.41,8.43,26.06,8.23
2012-06-01,2012,"Purba Bardhaman",Post-Monsoon,18.48,813.19,27.05,26.70,50.41,8.43,26.06,8.23
2012-06-01,2012,Purulia,Pre-Monsoon,14.10,1848.67,33.96,22.81,20.48,11.03,39.28,17.02
2012-06-01,2012,Purulia,Post-Monsoon,5.14,1598.04,27.63,26.89,20.48,11.03,39.28,17.02
2012-06-01,2012,"West Medinipur",Pre-Monsoon,6.52,1302.52,30.75,21.75,58.38,17.20,13.29,13.22
2012-06-01,2012,"West Medinipur",Post-Monsoon,14.95,856.36,27.49,24.59,58.38,17.20,13.29,13.22
2013-06-01,2013,Bankura,Pre-Monsoon,5.08,899.36,34.05,18.19,38.18,26.11,12.94,12.32
2013-06-01,2013,Bankura,Post-Monsoon,7.41,1267.15,29.33,19.62,38.18,26.11,12.94,12.32
2013-06-01,2013,Birbhum,Pre-Monsoon,13.23,1662.86,29.46,22.36,26.00,13.12,32.12,12.14
2013-06-01,2013,Birbhum,Post-Monsoon,15.38,1371.26,34.96,27.18,26.00,13.12,32.12,12.14
2013-06-01,2013,Jalpaiguri,Pre-Monsoon,14.78,1679.09,28.22,15.41,35.04,14.86,23.78,16.78
2013-06-01,2013,Jalpaiguri,Post-Monsoon,8.36,1114.72,33.93,15.67,35.04,14.86,23.78,16.78
2013-06-01,2013,Jhargram,Pre-Monsoon,15.68,1395.64,33.95,19.35,55.68,28.88,33.61,9.73
2013-06-01,2013,Jhargram,Post-Monsoon,8.56,1725.09,26.60,15.98,55.68,28.88,33.61,9.73
2013-06-01,2013,Murshidabad,Pre-Monsoon,9.88,1673.83,32.43,23.95,47.53,15.94,17.64,17.61
2013-06-01,2013,Murshidabad,Post-Monsoon,16.20,1321.79,28.70,25.65,47.53,15.94,17.64,17.61
2013-06-01,2013,"Purba Bardhaman",Pre-Monsoon,14.74,1759.30,35.42,18.54,21.54,27.54,23.84,14.56
2013-06-01,2013,"Purba Bardhaman",Post-Monsoon,17.74,1508.28,30.41,16.19,21.54,27.54,23.84,14.56
2013-06-01,2013,Purulia,Pre-Monsoon,14.86,1900.78,27.05,27.35,46.37,27.38,29.10,14.21
2013-06-01,2013,Purulia,Post-Monsoon,13.52,1335.21,27.78,22.04,46.37,27.38,29.10,14.21
2013-06-01,2013,"West Medinipur",Pre-Monsoon,6.41,1847.54,35.98,25.49,22.67,17.96,14.51,16.06
2013-06-01,2013,"West Medinipur",Post-Monsoon,10.52,1590.54,35.38,26.04,22.67,17.96,14.51,16.06
2014-06-01,2014,Bankura,Pre-Monsoon,8.98,1099.60,32.34,17.88,40.49,22.01,11.25,6.27
2014-06-01,2014,Bankura,Post-Monsoon,8.66,1985.20,39.16,15.51,40.49,22.01,11.25,6.27
2014-06-01,2014,Birbhum,Pre-Monsoon,19.60,1646.69,38.88,17.35,48.65,6.80,12.14,5.18
2014-06-01,2014,Birbhum,Post-Monsoon,10.90,1481.53,38.73,15.44,48.65,6.80,12.14,5.18
2014-06-01,2014,Jalpaiguri,Pre-Monsoon,18.38,1636.90,29.46,27.02,58.26,23.44,20.60,9.45
2014-06-01,2014,Jalpaiguri,Post-Monsoon,14.47,1965.27,39.16,21.16,58.26,23.44,20.60,9.45
2014-06-01,2014,Jhargram,Pre-Monsoon,16.92,1834.45,37.67,19.15,33.99,24.37,29.84,7.78
2014-06-01,2014,Jhargram,Post-Monsoon,12.54,1794.70,25.56,22.75,33.99,24.37,29.84,7.78
2014-06-01,2014,Murshidabad,Pre-Monsoon,13.65,1076.01,26.81,16.00,26.96,7.46,29.81,16.47
